Bruit,Tokenizer,ExactMatch_moy,Précision_moy,Rappel_moy,F1_moy
original,spacy,0.475,0.9572928617269011,0.964166409545608,0.960314294636918
original,stanza,0.962,0.9981564083355843,0.998100746744664,0.998105260974929
original,bert,0.205,0.875878327276287,0.917147614391184,0.8951503810627007
bruit_faible,spacy,0.2,0.877846847288415,0.8752091556763594,0.8758044753261361
bruit_faible,stanza,0.397,0.9195049479831784,0.9196759229439199,0.9193689236064565
bruit_faible,bert,0.123,0.8174366763312556,0.848482993986857,0.8315088881278175
bruit_moyen,spacy,0.084,0.803385569606367,0.7950356949000073,0.7982278252324371
bruit_moyen,stanza,0.148,0.8467711370228374,0.8490630425598762,0.8475549317065647
bruit_moyen,bert,0.062,0.7591894662107004,0.7854372197899067,0.7708732389297839
bruit_fort,spacy,0.012,0.6753052815751471,0.6578927454973446,0.665331857801544
bruit_fort,stanza,0.019,0.7183169488110183,0.719583459664271,0.7184043512327742
bruit_fort,bert,0.011,0.6564784847617634,0.6687605083483494,0.6612555846146138
